d_m,heading_error,kappa,vx,kappa_lookahead,steering
-0.025996563580212725,-0.07990380341037451,-0.43446485068449164,3.563409736439796,-0.3082775499614044,-0.14137931168079376
-0.04306348204355564,-0.09456219221743954,-0.43446485068449164,3.5689545841321766,-0.3082775499614044,-0.14137931168079376
-0.038051463519241414,-0.06616760670017996,-0.41893160360626713,3.574372577071381,-0.2981003465568987,-0.14137931168079376
-0.025482940942179615,-0.07945753171291826,-0.41893160360626713,3.5796827056994114,-0.2981003465568987,-0.14137931168079376
-0.049460365294018184,-0.09262089625642789,-0.41893160360626713,3.584882099296672,-0.2981003465568987,-0.1310344785451889
-0.030965411917169627,-0.06387118626149357,-0.40428891890121205,3.5909095402934,-0.2881432588409363,-0.1310344785451889
-0.028036350907293,-0.07649919665190862,-0.40428891890121205,3.596922562694063,-0.2881432588409363,-0.1310344785451889
-0.052596527982150205,-0.049765364698280745,-0.3899184169490896,3.6036373124515135,-0.2785006300752913,-0.1310344785451889
-0.024659910949844713,-0.06284037492841854,-0.3899184169490896,3.6103402369781636,-0.2785006300752913,-0.1310344785451889
-0.033029117876278845,-0.07523267701451529,-0.3899184169490896,3.616894233423431,-0.2785006300752913,-0.1310344785451889
-0.04348809393414045,-0.04938813582872025,-0.3762539228076124,3.6243126385879827,-0.2691079944411913,-0.1310344785451889
-0.02049579140470484,-0.061269034316281175,-0.3762539228076124,3.631584981651729,-0.2691079944411913,-0.1310344785451889
-0.03988786852062725,-0.07326939839340652,-0.3762539228076124,3.6397313188442153,-0.2691079944411913,-0.1310344785451889
-0.03428742985546618,-0.04790357216417763,-0.3642439439196537,3.6477582103099304,-0.25991526337779414,-0.1310344785451889
-0.02055071977437166,-0.05973155713908751,-0.3642439439196537,3.655608513982736,-0.25991526337779414,-0.1310344785451889
-0.04840014675431264,-0.07107579122078755,-0.3642439439196537,3.6643189053856204,-0.25991526337779414,-0.1310344785451889
-0.024338493568531544,-0.04728294245948739,-0.35257809248897826,3.673136535159182,-0.2508954295208111,-0.1310344785451889
-0.025462518426710483,-0.05827396048793076,-0.35257809248897826,3.682364787893123,-0.2508954295208111,-0.1310344785451889
-0.045905653943779906,-0.03544636321595629,-0.34097108342786353,3.691812207014066,-0.24206356758294056,-0.1310344785451889
-0.01651029329538196,-0.046826608267307446,-0.34097108342786353,3.700981302647257,-0.24206356758294056,-0.15207743644714355
-0.03392278861494329,-0.0581096837080164,-0.34097108342786353,3.710659220032902,-0.24206356758294056,-0.15207743644714355
-0.034784231778954934,-0.035997413660179056,-0.32994390005681234,3.7204869814441817,-0.2333763073816122,-0.15200631320476532
-0.01447913123838825,-0.04758728523236355,-0.32994390005681234,3.7310985793540863,-0.2333763073816122,-0.15200631320476532
-0.04535568944934123,-0.05916404501811012,-0.32994390005681234,3.7417854738300775,-0.2333763073816122,-0.15200631320476532
-0.02286469410157527,-0.038154842283463,-0.31893489980471657,3.75177468571961,-0.22483252485452154,-0.14137931168079376
