d_m,heading_error,kappa,vx,kappa_lookahead,steering
-0.019108051583609436,-0.06476993401525899,-0.3137092573228132,3.576840639936523,-0.4353725477022296,-0.12068965286016464
-0.024276303048188966,-0.07585340905863337,-0.3137092573228132,3.5843794969950196,-0.4353725477022296,-0.12068965286016464
-0.0435955581857639,-0.05730369786450096,-0.2809800057122653,3.591895633490391,-0.46774567864635863,-0.12068965286016464
-0.01219089252187219,-0.06752999957047745,-0.2809800057122653,3.5991063413737066,-0.46774567864635863,-0.1310344785451889
-0.031109938366857694,-0.07791031701149675,-0.2809800057122653,3.6079778163686314,-0.46774567864635863,-0.1310344785451889
-0.03543146329265105,-0.0612501871612694,-0.2489757036916331,3.6166635210169686,-0.5016445738605698,-0.18501903116703033
-0.00932690513873357,-0.07122707124807981,-0.2489757036916331,3.627032881776178,-0.5016445738605698,-0.18501903116703033
-0.03936307754651432,-0.08075469419035251,-0.2489757036916331,3.6372138689936167,-0.5016445738605698,-0.18501903116703033
-0.02675878191199889,-0.06612082528145402,-0.245024213994799,3.6471272382317412,-0.5368129016117745,-0.20344828069210052
-0.014471032950042078,-0.07548356849603133,-0.245024213994799,3.6579288558074423,-0.5368129016117745,-0.20344828069210052
-0.04891396147586605,-0.08515193747367401,-0.245024213994799,3.668528130141512,-0.5368129016117745,-0.196821928024292
-0.01797579268053438,-0.07086982758908668,-0.2501641069215339,3.678840617810706,-0.5741105451389023,-0.196821928024292
-0.023938213146287222,-0.08149700447285602,-0.2501641069215339,3.6889753628545314,-0.5741105451389023,-0.196821928024292
-0.042472789490428535,-0.06673007058027201,-0.27742282692783604,3.698894191778727,-0.6133034241119457,-0.20344828069210052
-0.012212192419013699,-0.0792249626447432,-0.27742282692783604,3.704391455547325,-0.6133034241119457,-0.20344828069210052
-0.03534577460417666,-0.09231451452978456,-0.27742282692783604,3.709810666104905,-0.6133034241119457,-0.19310344755649567
-0.0325689770675226,-0.07686135358545476,-0.3113982264578468,3.7150565461491163,-0.6554720737891009,-0.19310344755649567
-0.01707847137023707,-0.09299458387124315,-0.3113982264578468,3.720429151324322,-0.6554720737891009,-0.19310344755649567
-0.048102345905950576,-0.10876178618312804,-0.3113982264578468,3.725368839180284,-0.6554720737891009,-0.20344828069210052
-0.024402582597942583,-0.09299806887681372,-0.3424008561657783,3.728305019881891,-0.7019623037943553,-0.20344828069210052
-0.027144264885715225,-0.11055816219666782,-0.3424008561657783,3.731223925058896,-0.7019623037943553,-0.22537250816822052
-0.0469071421250216,-0.09319276924617204,-0.37306759012568086,3.73220289131029,-0.7521931424856075,-0.22537250816822052
-0.022065937185930883,-0.11189045094258487,-0.37306759012568086,3.7331683454486124,-0.7521931424856075,-0.22537250816822052
-0.040012174221990486,-0.13007425255460994,-0.37306759012568086,3.7341124700564228,-0.7521931424856075,-0.1827586144208908
-0.03834471931779245,-0.10956143794382767,-0.40372815804354906,3.6516504024523577,-0.8063398204822385,-0.1827586144208908
-0.02723189772234947,-0.13005008072286994,-0.40372815804354906,3.6525486689401205,-0.8063398204822385,-0.19310344755649567
-0.05177113481760777,-0.14980456089932614,-0.40372815804354906,3.571087024767452,-0.8063398204822385,-0.19310344755649567
-0.03488753416406757,-0.13197540128471652,-0.4353725477022296,3.572001111691139,-0.8655440548872956,-0.19310344755649567
-0.035184005441713795,-0.15389219154736367,-0.4353725477022296,3.572852296928609,-0.8655440548872956,-0.19310344755649567
-0.057283449854531814,-0.1310278174440298,-0.46774567864635863,3.490051503280843,-0.883181473401074,-0.19310344755649567
-0.036793160267648096,-0.15554839183307712,-0.46774567864635863,3.49101399650701,-0.883181473401074,-0.21596765518188477
-0.04354413964423137,-0.17795831736314316,-0.46774567864635863,3.4088867162717196,-0.883181473401074,-0.21596765518188477
-0.05626855906404995,-0.15483037179484027,-0.5016445738605698,3.41000999787549,-0.9018182384868573,-0.21596765518188477
-0.041398955995846566,-0.1772091011107224,-0.5016445738605698,3.411078490367546,-0.9018182384868573,-0.21739010512828827
-0.051081734188283476,-0.19851300848767606,-0.5016445738605698,3.3291087571293256,-0.9018182384868573,-0.21739010512828827
-0.05885626176040836,-0.1698139335092015,-0.5368129016117745,3.3303898101056477,-0.8725205335898316,-0.1856587827205658
-0.04773782020291181,-0.19160922958014925,-0.5368129016117745,3.247726870080318,-0.8725205335898316,-0.1856587827205658
-0.05758438890968381,-0.21490422980742485,-0.5368129016117745,3.2492826127778307,-0.8725205335898316,-0.1856587827205658
-0.06407228149626286,-0.18117623925221826,-0.5741105451389023,3.2508060737124005,-0.8456940196813335,-0.1827586144208908
-0.05520514920728384,-0.2025081756133793,-0.5741105451389023,3.250915911190778,-0.8456940196813335,-0.1827586144208908
-0.06471347092109206,-0.22257955390114992,-0.5741105451389023,3.2510221652267033,-0.8456940196813335,-0.16206896305084229
-0.0708458617181712,-0.1832570782043197,-0.6133034241119457,3.2511267044693875,-0.8153038995965028,-0.16206896305084229
-0.06396219548581866,-0.2025668966518479,-0.6133034241119457,3.2512291467084955,-0.8153038995965028,-0.16206896305084229
-0.07325957113205965,-0.22066167542390058,-0.6133034241119457,3.25132932543441,-0.8153038995965028,-0.17241379618644714
-0.07813687406490781,-0.17505978159932978,-0.6554720737891009,3.1687963616816632,-0.7898703796840748,-0.17241379618644714
-0.07288569799796524,-0.19488190199053346,-0.6554720737891009,3.1693710934938606,-0.7898703796840748,-0.20344828069210052
-0.08138559302905495,-0.21396154781931243,-0.6554720737891009,3.0867514788927255,-0.7898703796840748,-0.20344828069210052
-0.08623067355223105,-0.16710657255825145,-0.7019623037943553,3.087920861206286,-0.7687232611028938,-0.20344828069210052
-0.08121188140040149,-0.18529711178923014,-0.7019623037943553,3.089044544707037,-0.7687232611028938,-0.2137930989265442
-0.08806375387595304,-0.20249724349743792,-0.7019623037943553,3.089130563820497,-0.7687232611028938,-0.2137930989265442
-0.09389148236330296,-0.14551670275154427,-0.7521931424856075,3.0892145638066353,-0.7521872074564481,-0.25517240166664124
-0.08856534749377229,-0.160587384808204,-0.7521931424856075,3.006667814691645,-0.7521872074564481,-0.25517240166664124
-0.09406031165216691,-0.17894763182121756,-0.7521931424856075,3.0076952465302162,-0.7521872074564481,-0.25517240166664124
-0.10083170399862364,-0.11939173715672834,-0.8063398204822385,3.0086981615651944,-0.7521872074564481,-0.22413793206214905
-0.0950128465369781,-0.13716443708152593,-0.8063398204822385,3.0091107872695715,-0.7521872074564481,-0.22413793206214905
-0.09913849014204616,-0.1549778996905249,-0.8063398204822385,3.0095113303329306,-0.7521872074564481,-0.21741150319576263
-0.10666547648604485,-0.08886264396973864,-0.8655440548872956,3.009904174539273,-0.7395415708777213,-0.21741150319576263
-0.10011870833242133,-0.10698991132977476,-0.8655440548872956,3.0102991050070522,-0.7395415708777213,-0.21741150319576263
-0.10316590724649626,-0.1250881983934513,-0.8655440548872956,3.010666678293427,-0.7395415708777213,-0.23936183750629425
-0.11060423351094036,-0.0560305689927243,-0.883181473401074,3.0108055893718784,-0.7309833463003158,-0.23936183750629425
-0.10347482013892167,-0.07529007508986707,-0.883181473401074,3.0109422235561216,-0.7309833463003158,-0.2689492404460907
-0.10545486091296206,-0.09430125342328122,-0.883181473401074,2.9286042242122496,-0.7309833463003158,-0.2689492404460907
-0.11258237463659869,-0.026085778533825096,-0.9018182384868573,2.9303715064686653,-0.7257407999226061,-0.2689492404460907
-0.1044757535782952,-0.046180082943510836,-0.9018182384868573,2.9320898208710426,-0.7257407999226061,-0.2870175540447235
-0.10479081294160289,-0.06512769161540444,-0.9018182384868573,2.9337473427452094,-0.7257407999226061,-0.2870175540447235
-0.11291931522128786,0.0049655331423097415,-0.8725205335898316,2.93537275131389,-0.7242818383945802,-0.31992554664611816
-0.1032495201099797,-0.014129515326943842,-0.8725205335898316,2.9369326099192086,-0.7242818383945802,-0.31992554664611816
-0.10200936573324444,-0.033053972552836264,-0.8725205335898316,2.938467631877399,-0.7242818383945802,-0.31992554664611816
-0.1097031924723613,-0.05253504154168187,-0.8725205335898316,2.939980159466063,-0.7242818383945802,-0.2907698452472687
-0.10035448593760289,0.013191815019209407,-0.8456940196813335,2.9414330821956716,-0.7521872074564481,-0.2907698452472687
-0.09757096744877608,-0.007169542383298032,-0.8456940196813335,2.942866617257277,-0.7521872074564481,-0.317241370677948
-0.10400064264050314,-0.02811961265462326,-0.8456940196813335,2.944428579314444,-0.7521872074564481,-0.317241370677948
-0.0963663109884855,0.033660856580014276,-0.8153038995965028,2.9459820279054068,-0.7521872074564481,-0.317241370677948
-0.09183593336358062,0.012223021508948939,-0.8153038995965028,2.9474774880234618,-0.7521872074564481,-0.3379310369491577
-0.09716194592735933,-0.010456725054850402,-0.8153038995965028,2.9492653219296883,-0.7521872074564481,-0.3379310369491577
-0.09174395040099158,0.04646960436466063,-0.7898703796840748,2.9510428993073083,-0.7370942154769337,-0.3689655065536499
-0.0853306834154335,0.024584184247893326,-0.7898703796840748,2.9531599433714817,-0.7370942154769337,-0.3689655065536499
-0.08918774265198397,0.002024878651621709,-0.7898703796840748,2.9552726621641976,-0.7370942154769337,-0.3689655065536499
-0.08739086669003697,0.05641036171301472,-0.7687232611028938,2.9573494061687726,-0.7465976871594682,-0.4000000059604645
-0.07837969845928673,0.03302308978083168,-0.7687232611028938,2.959915101111385,-0.7465976871594682,-0.4000000059604645
-0.08066297225986849,0.009023596968036786,-0.7687232611028938,2.9624260502954542,-0.7465976871594682,-0.4000000059604645
-0.08353309403022792,0.05988689046079212,-0.7521872074564481,2.964883651296156,-0.7599699499708997,-0.4000000059604645
-0.07181938281856667,0.0343353030680549,-0.7521872074564481,2.9673098029942815,-0.7599699499708997,-0.4000000059604645
-0.07226956238176896,0.008287734166984695,-0.7521872074564481,2.9696550176119865,-0.7599699499708997,-0.4000000059604645
-0.08094314187992073,0.05541094257033885,-0.7395415708777213,2.972551483738218,-0.7999763017277329,-0.4000000059604645
-0.06660059544982683,0.027744993365131254,-0.7395415708777213,2.9753804561703827,-0.7999763017277329,-0.4000000059604645
-0.06470184497040123,-0.0008396386828777302,-0.7395415708777213,2.9787594091361926,-0.7999763017277329,-0.4000000059604645
-0.07631622513384503,-0.030666616571342953,-0.7395415708777213,2.9820686884577845,-0.7999763017277329,-0.4000000059604645
-0.06332482229817127,0.012645434366678643,-0.7309833463003158,2.9853053481680347,-0.8240667516740598,-0.4000000059604645
-0.05880650006772435,-0.018295162268934462,-0.7309833463003158,2.989058616742973,-0.8240667516740598,-0.4000000059604645
-0.06919017657286064,-0.04932585061063221,-0.7309833463003158,2.992739200038818,-0.8240667516740598,-0.3689655065536499
-0.06246699947784718,-0.008111931484314105,-0.7257407999226061,2.9963285834739484,-0.8332395198474669,-0.3689655065536499
-0.05500721814813399,-0.039731994604600196,-0.7257407999226061,2.9998612469523787,-0.8332395198474669,-0.3689655065536499
-0.06368093786396216,-0.07183129534889952,-0.7257407999226061,3.00331280279536,-0.8332395198474669,-0.3482758700847626
-0.06371005222159966,-0.031215977361594316,-0.7242818383945802,3.0072407683617604,-0.8442767044031417,-0.3482758700847626
-0.0537185544385748,-0.06348280737518408,-0.7242818383945802,3.011087748282755,-0.8442767044031417,-0.3496491312980652
-0.0601387589257671,-0.0954730882355439,-0.7242818383945802,3.015361299350942,-0.8442767044031417,-0.3496491312980652
-0.06700300897167857,-0.05543859999514478,-0.7257123623410937,3.0195476504344843,-0.8614309538145318,-0.3496491312980652
-0.0550234028264804,-0.08746563608416746,-0.7257123623410937,3.0236358926103653,-0.8614309538145318,-0.317241370677948
-0.05901780356487901,-0.1187265866131808,-0.7257123623410937,3.0280166123180106,-0.8614309538145318,-0.317241370677948
-0.07175413863436449,-0.0771001947087897,-0.730738663192796,3.032292968582799,-0.8469282810491984,-0.317241370677948
-0.05845323769267245,-0.10756494679604467,-0.730738663192796,3.0360487288207705,-0.8469282810491984,-0.317241370677948
-0.06015845448789314,-0.13705498346694123,-0.730738663192796,3.039738634540206,-0.8469282810491984,-0.317241370677948
-0.07593512676346618,-0.16618566985215644,-0.730738663192796,3.0433324824168757,-0.8469282810491984,-0.24482758343219757
-0.06336952271671062,-0.12125451439327728,-0.7370942154769337,3.0468548905916624,-0.7225468720714994,-0.24482758343219757
-0.06325407657059662,-0.14968202067607717,-0.7370942154769337,3.050302877677107,-0.7225468720714994,-0.24482758343219757
-0.07706132909103522,-0.1774175513502656,-0.7370942154769337,3.0536643991398016,-0.7225468720714994,-0.26855194568634033
-0.06941705731416507,-0.13014361069515212,-0.7465976871594682,3.056515535088482,-0.5803494668633877,-0.26855194568634033
-0.06792796411191014,-0.15674977094205156,-0.7465976871594682,3.059298812585521,-0.5803494668633877,-0.24482758343219757
-0.07988940477899163,-0.18255253646827718,-0.7465976871594682,3.0615296356774677,-0.5803494668633877,-0.24482758343219757
-0.07600061889925724,-0.13324640189601578,-0.7599699499708997,3.0637185461276633,-0.3635195331898199,-0.24482758343219757
-0.07360989951265651,-0.15857899314389368,-0.7599699499708997,3.0653744397312934,-0.3635195331898199,-0.24482758343219757
-0.08390499200271034,-0.18286634096707965,-0.7599699499708997,3.0669935176463636,-0.3635195331898199,-0.24482758343219757
-0.08254755644669337,-0.12896966310851532,-0.7781160483049614,3.0685828307942424,-0.14784251729873887,-0.23614823818206787
-0.07938329368698264,-0.15143679821927414,-0.7781160483049614,3.069708352563517,-0.14784251729873887,-0.23614823818206787
-0.08824509046644709,-0.174050806122386,-0.7781160483049614,3.0708027970252934,-0.14784251729873887,-0.20833592116832733
-0.0885408212172823,-0.11755117191521423,-0.7999763017277329,3.0718790611443607,0.07010947590148471,-0.20833592116832733
-0.08484868901207868,-0.1391081107665859,-0.7999763017277329,3.072939219399356,0.07010947590148471,-0.20833592116832733
-0.09261482644882849,-0.1604229120653473,-0.7999763017277329,3.073968842051539,0.07010947590148471,-0.1827586144208908
-0.0933727885199645,-0.09976851316757963,-0.8240667516740598,3.074636999592831,0.28791408753923553,-0.1827586144208908
-0.08930322030078883,-0.12058683129875948,-0.8240667516740598,3.075294554931468,0.28791408753923553,-0.1649462878704071
-0.09609854719894602,-0.1407470151009922,-0.8240667516740598,3.075720534856618,0.28791408753923553,-0.1649462878704071
-0.0967892478374957,-0.07847197043481513,-0.8332395198474669,3.0761400920600916,0.5085388822276332,-0.1649462878704071
-0.09229299329491973,-0.09852370802343868,-0.8332395198474669,3.0765499880206373,0.5085388822276332,-0.14137931168079376
-0.0983334401332366,-0.11757773487085554,-0.8332395198474669,3.076766062757116,0.5085388822276332,-0.14137931168079376
-0.09835995549567461,-0.0526740996844035,-0.8442767044031417,3.076976842563268,0.7073631966868974,-0.12068965286016464
-0.09318497588028898,-0.07096441247333085,-0.8442767044031417,3.077049706314901,0.7073631966868974,-0.12068965286016464
-0.09844408812978078,-0.08805859025862683,-0.8442767044031417,3.0771209179616186,0.7073631966868974,-0.12068965286016464
-0.09740526556602014,-0.019692766515598148,-0.8614309538145318,3.07719048184044,0.8699386119178352,-0.08620689809322357
-0.09131807701631975,-0.0357314072305015,-0.8614309538145318,3.077233266773406,0.8699386119178352,-0.08620689809322357
-0.09587615955234295,-0.05161308598050729,-0.8614309538145318,3.077274759698501,0.8699386119178352,-0.06551723927259445
