hidden_size,lambda,rmse,mae,r2,train_time,inference_time
256,0.0001,0.026733207491623636,0.018467430962963296,0.9670065783181233,0.3005642890930176,0.0017321915692007869
256,0.001,0.02673322087830577,0.01846739069509168,0.967006545275133,0.3535313606262207,0.002071244150526525
256,0.01,0.026733356200388518,0.01846699502294733,0.9670062112522084,0.46835851669311523,0.00200260541715965
128,0.0001,0.028377343454344006,0.019671118160981205,0.962823483576217,0.14137721061706543,0.0008442308622236103
128,0.001,0.02837734839767592,0.019671104421872365,0.962823470623921,0.28144097328186035,0.0013043667344426156
128,0.01,0.028377398438312516,0.019670968328189233,0.9628233395095681,0.16849541664123535,0.0009296671540868914
64,0.01,0.03203792326666796,0.022336945945306684,0.9526135763288649,0.07862353324890137,0.0005068461343485638
64,0.001,0.03203806143488689,0.022337258510760464,0.9526131676062506,0.07760858535766602,0.0005657215792562908
64,0.0001,0.032038075298497226,0.022337289783203762,0.9526131265954845,0.06542181968688965,0.00043018215921068704
32,0.0001,0.035036087403793416,0.023800013556179375,0.9433295812858523,0.03375387191772461,0.00027807044761020834
32,0.001,0.0350360886776257,0.02380001367258904,0.9433295771650377,0.03737330436706543,0.000317606116489756
32,0.01,0.0350361014314168,0.023800015007521318,0.9433295359068441,0.04547762870788574,0.00029761152081467034
